miRNA	chr	miR_start	miR_end	SNP_id	lost_num	gain_num
hsa-miR-551a	chr1	3477294	3477274	rs187195064	437	2142
hsa-miR-3675-5p	chr1	17185505	17185483	rs202014433	1453	906
hsa-miR-4695-5p	chr1	19209765	19209744	rs79637190	2058	1061
hsa-miR-5585-3p	chr1	32552587	32552608	rs141449846	779	2105
hsa-miR-3605-3p	chr1	33798028	33798006	rs200490191	736	144
hsa-miR-4781-3p	chr1	54519797	54519818	rs74085143	2322	768
hsa-miR-3116	chr1	62544502	62544523	rs192207383	2130	1305
hsa-miR-3117-3p	chr1	67094168	67094188	rs12402181	1206	914
hsa-miR-4423-5p	chr1	85599489	85599510	rs34868728	0	0
hsa-miR-4423-3p	chr1	85599525	85599545	rs144289108	978	2946
hsa-miR-2682-3p	chr1	98510848	98510827	rs74904371	1875	1205
hsa-miR-553	chr1	100746812	100746832	rs190622705	460	604
hsa-miR-3118	chr1	142667332	142667354	rs200544006	2176	2976
hsa-miR-3118	chr1	143163792	143163814	rs61786895	2176	2976
hsa-miR-3118	chr1	143424172	143424150	rs11488501	2176	2976
hsa-miR-4257	chr1	150524463	150524480	rs74743733	2330	1864
hsa-miR-1255b-5p	chr1	167967903	167967924	rs189709980	2426	1098
hsa-miR-557	chr1	168344822	168344844	rs78825966	745	1369
hsa-miR-488-5p	chr1	176998568	176998548	rs199722070	1879	1418
hsa-miR-488-5p	chr1	176998568	176998548	rs186200318	1879	1418
hsa-miR-3620-5p	chr1	228284986	228285007	rs2070960	1309	1137
hsa-miR-3124-5p	chr1	249120582	249120602	rs12081872	188	518
hsa-miR-3125	chr2	12877502	12877521	rs200914693	2168	1930
hsa-miR-3682-5p	chr2	54076328	54076307	rs116380885	771	2413
hsa-miR-4433-5p	chr2	64567904	64567924	rs148211570	1390	1952
hsa-miR-4778-3p	chr2	66585410	66585389	rs184768286	657	967
hsa-miR-3126-5p	chr2	69330823	69330844	rs182148652	1666	2195
hsa-miR-3126-5p	chr2	69330823	69330844	rs187256070	1666	2195
hsa-miR-933	chr2	176032391	176032370	rs139770589	273	201
hsa-miR-562	chr2	233037423	233037442	rs140596642	0	0
hsa-miR-466	chr3	31203228	31203206	rs116476604	800	925
hsa-miR-4271	chr3	49311591	49311609	rs189148716	3437	389
hsa-miR-1324	chr3	75679974	75679997	rs199975935	2237	901
hsa-miR-548i	chr3	125509357	125509336	rs201549145	586	417
hsa-miR-4788	chr3	134156678	134156699	rs187884409	158	1656
hsa-miR-15b-3p	chr3	160122433	160122454	rs192595529	645	655
hsa-miR-548aq-5p	chr3	185485692	185485671	rs148741643	574	903
hsa-miR-1248	chr3	186504464	186504490	rs202149708	855	1315
hsa-miR-4797-3p	chr3	197020779	197020759	rs34664737	744	124
hsa-miR-943	chr4	1988150	1988130	rs186568343	1339	1763
hsa-miR-4274	chr4	7461818	7461835	rs202195689	0	0
hsa-miR-4274	chr4	7461818	7461835	rs141916455	0	0
hsa-miR-1255b-5p	chr4	36428048	36428027	rs139535532	2426	1098
hsa-miR-574-5p	chr4	38869677	38869699	rs147472159	0	0
hsa-miR-4802-5p	chr4	40504124	40504103	rs112628148	1809	2302
hsa-miR-575	chr4	83674523	83674505	rs149186367	2069	1882
hsa-miR-367-5p	chr4	113569092	113569071	rs150161032	1308	2413
hsa-miR-302c-3p	chr4	113569544	113569522	rs199971565	2498	1701
hsa-miR-1973	chr4	117220906	117220924	rs183399490	633	2186
hsa-miR-3688-5p	chr4	160050032	160050012	rs70962655	745	1995
hsa-miR-4454	chr4	164014778	164014759	rs186486512	187	2103
hsa-miR-548t-3p	chr4	174189356	174189380	rs73872515	1988	1820
hsa-miR-449c-3p	chr5	54468125	54468103	rs35770269	860	992
hsa-miR-4804-5p	chr5	72174427	72174447	rs266435	382	3100
hsa-miR-4460	chr5	128732829	128732808	rs190094721	1041	678
hsa-miR-3655	chr5	140027429	140027449	rs146400503	214	1649
hsa-miR-5197-3p	chr5	143059488	143059510	rs77549240	2168	935
hsa-miR-145-3p	chr5	148810262	148810283	rs190323149	1114	1781
hsa-miR-6499-5p	chr5	150901705	150901684	rs3734050	585	706
hsa-miR-146a-3p	chr5	159912415	159912436	rs2910164	1762	1423
hsa-miR-585	chr5	168690638	168690620	rs62376935	318	265
hsa-miR-6720-3p	chr6	1390580	1390559	rs201914560	1290	636
hsa-miR-4640-3p	chr6	30858726	30858747	rs150797141	1940	1789
hsa-miR-4640-3p	chr6	30858726	30858747	rs61596908	1940	1789
hsa-miR-1236-3p	chr6	31924637	31924616	rs185147690	1954	830
hsa-miR-6721-5p	chr6	32137883	32137861	rs187833281	1984	907
hsa-miR-4641	chr6	41566502	41566525	rs77674981	1067	421
hsa-miR-4464	chr6	91022472	91022492	rs34899210	1315	1722
hsa-miR-3692-5p	chr6	157950169	157950192	rs185691679	2489	625
hsa-miR-3939	chr6	167411339	167411318	rs76608449	343	1212
hsa-miR-3939	chr6	167411339	167411318	rs75823810	343	1212
hsa-miR-3939	chr6	167411339	167411318	rs73024232	343	1212
hsa-miR-4656	chr7	4828261	4828239	rs71535143	698	805
hsa-miR-550b-3p	chr7	30329449	30329430	rs187080847	1009	1150
hsa-miR-4284	chr7	73125657	73125674	rs11973069	1318	936
hsa-miR-590-5p	chr7	73605543	73605564	rs189727189	638	1518
hsa-miR-5090	chr7	102106199	102106221	rs3823658	462	1561
hsa-miR-4467	chr7	102111919	102111940	rs115101071	397	1020
hsa-miR-3666	chr7	114293428	114293448	rs186005043	2781	249
hsa-miR-593-5p	chr7	127721928	127721952	rs73721294	1209	1026
hsa-miR-6509-3p	chr7	134891779	134891758	rs145322812	2351	1216
hsa-miR-671-3p	chr7	150935574	150935594	rs200733440	258	1837
hsa-miR-1322	chr8	10682903	10682885	rs189895541	1895	266
hsa-miR-3622a-5p	chr8	27559207	27559228	rs66683138	633	2206
hsa-miR-3622b-5p	chr8	27559262	27559243	rs13276615	2457	1530
hsa-miR-548ao-3p	chr8	41128605	41128584	rs79091838	309	2320
hsa-miR-4661-3p	chr8	92217759	92217780	rs12335005	1722	1008
hsa-miR-3610	chr8	117886998	117886979	rs112072631	352	283
hsa-miR-4662a-5p	chr8	125834232	125834253	rs193002095	564	1036
hsa-miR-3673	chr8	130508119	130508099	rs57824231	75	1051
hsa-miR-5194	chr8	131020627	131020606	rs35804210	1573	995
hsa-miR-4472	chr8	143257757	143257774	rs28655823	3260	2026
hsa-miR-1234-5p	chr8	145625542	145625522	rs75169642	750	1073
hsa-miR-1234-5p	chr8	145625542	145625522	rs2291134	750	1073
hsa-miR-1234-5p	chr8	145625542	145625522	rs141140965	750	1073
hsa-miR-4540	chr9	36864271	36864251	rs143699849	910	1472
hsa-miR-4477a	chr9	68415341	68415320	rs34026740	841	844
hsa-miR-4477a	chr9	68415341	68415320	rs75019967	841	844
hsa-miR-4477b	chr9	68415357	68415378	rs143791185	753	278
hsa-miR-4290	chr9	92785751	92785733	rs182483446	1501	1376
hsa-miR-4669	chr9	137271295	137271316	rs149603368	259	955
hsa-miR-3689d	chr9	137742199	137742178	rs143142996	2102	735
hsa-miR-3689f	chr9	137742650	137742629	rs73664170	899	1117
hsa-miR-602	chr9	140732886	140732908	rs201175632	860	2680
hsa-miR-602	chr9	140732886	140732908	rs202075878	860	2680
hsa-miR-6078	chr10	4033370	4033388	rs1079033	349	2560
hsa-miR-4293	chr10	14425225	14425209	rs12220909	3249	503
hsa-miR-604	chr10	29833966	29833948	rs186844507	640	2129
hsa-miR-938	chr10	29891261	29891240	rs12416605	940	852
hsa-miR-3611	chr10	35368557	35368537	rs150577768	1499	1824
hsa-miR-4683	chr10	35930131	35930109	rs151060225	1340	2561
hsa-miR-4683	chr10	35930131	35930109	rs202052786	1340	2561
hsa-miR-605	chr10	53059348	53059370	rs113212828	1810	1108
hsa-miR-1254	chr10	70519092	70519115	rs138812323	1617	1012
hsa-miR-4676-5p	chr10	74480796	74480816	rs183259402	1939	935
hsa-miR-3157-5p	chr10	97824147	97824126	rs141770574	1747	1662
hsa-miR-936	chr10	105807930	105807909	rs79924817	1402	177
hsa-miR-4482-5p	chr10	106028156	106028135	rs45596840	1456	1677
hsa-miR-4296	chr10	126721429	126721413	rs182347826	1878	1731
hsa-miR-4484	chr10	127508372	127508391	rs146182954	418	2583
hsa-miR-4687-5p	chr11	3877303	3877324	rs201287316	2244	344
hsa-miR-3161	chr11	48118343	48118365	rs113098367	1015	2311
hsa-miR-3161	chr11	48118343	48118365	rs11382316	1015	2311
hsa-miR-1237-5p	chr11	64136123	64136143	rs113909793	362	802
